col,codec,data_type,size
1,bz2,1,114235
1o,bz2,1,124773
1,bz2,2,134773
1o,bz2,2,125020
1,bz2,3,122542
1,gzip,1,193431
1o,gzip,1,182756
1,gzip,2,195177
1o,gzip,2,182803
1,gzip,3,139331
1,zlib,1,187633
1o,zlib,1,176958
1,zlib,2,189379
1o,zlib,2,177005
1,zlib,3,133533
1,fastpfor128,1,12796493
1o,fastpfor128,1,560549
1,fpzip,2,177101,165479
1o,fpzip,2,165479
1,zfpy,2,21898025
1o,zfpy,2,1017569
1,pyzfp,2,66131497
1o,pyzfp,2,1163953
2,bz2,1,84374608
2o,bz2,1,
2,bz2,2,68144727
2o,bz2,2,
2,bz2,3,92202127
2,gzip,1,73974947
2o,gzip,1,
2,gzip,2,45015757
2o,gzip,2,
2,gzip,3,86417570
2,zlib,1,73969149
2o,zlib,1,
2,zlib,2,45009964
2o,zlib,2,
2,zlib,3,86414571
2,fastpfor128,1,95517977
2,fpzip,2,21519559
2,zfpy,2,72123537
2,pyzfp,2,87105633
3,bz2,3,10916961
3,gzip,3,12201400
3,zlib,3,12180549
4,bz2,3,9844399
4,gzip,3,11027909
4,zlib,3,11005238
5,bz2,2,65589261
5,bz2,3,42993875
5,gzip,2,67210527
5,gzip,3,63558785
5,zlib,2,67355000
5,zlib,3,65658891
5,fpzip,2,104815452
5,zfpy,2,120073441
5,pyzfp,2,118526609
6,bz2,2,87334617
6,bz2,3,51830517
6,gzip,2,86121999
6,gzip,3,73483455
6,zlib,2,86153133
6,zlib,3,76705133
6,fpzip,2,103324496
6,zfpy,2,120487953
6,pyzfp,2,118581761
7,bz2,2,82495268
7,bz2,3,53808715
7,gzip,2,86136734
7,gzip,3,76878934
7,zlib,2,86562791
7,zlib,3,79612740
7,fpzip,2,105101194
7,zfpy,2,121383497
7,pyzfp,2,118965881
8,bz2,2,73662206
8,bz2,3,49413184
8,gzip,2,78654254
8,gzip,3,70157031
8,zlib,2,78945932
8,zlib,3,72360771
8,fpzip,2,101626742
8,zfpy,2,121307609
8,pyzfp,2,118814801
9,bz2,2,72276223
9,bz2,3,47858044
9,gzip,2,80316008
9,gzip,3,68375377
9,zlib,2,80845113
9,zlib,3,70124535
9,fpzip,2,100306467
9,zfpy,2,117713249
9,pyzfp,2,118850561
10,bz2,1,7164760
10,bz2,2,7081501
10,bz2,3,7326218
10,gzip,1,9111727
10,gzip,2,9066202
10,gzip,3,9702369
10,zlib,1,10519784
10,zlib,2,10079796
10,zlib,3,10701156
10,fastpfor128,1,29386217
10,fpzip,2,72643562
10,zfpy,2,27358409
10,pyzfp,2,109287969
